form_id	submission_id	Consent_Form_en	Q01_Think_Brain_Frequency_en	Q02_DietInfl_en	Q02_DietInfl_en_dummy	Q02_EducationInfl_en	Q02_EducationInfl_en_dummy	Q02_GeneticsInfl_en	Q02_GeneticsInfl_en_dummy	Q02_IncomeInfl_en	Q02_IncomeInfl_en_dummy	Q02_LifeGoalsInfl_en	Q02_LifeGoalsInfl_en_dummy	Q02_PhyEnvironmentInfl_en	Q02_PhyEnvironmentInfl_en_dummy	Q02_PhyHealthInfl_en	Q02_PhyHealthInfl_en_dummy	Q02_ProfessionInfl_en	Q02_ProfessionInfl_en_dummy	Q02_SleepHabitsInfl_en	Q02_SleepHabitsInfl_en_dummy	Q02_SocEnvironmentInfl_en	Q02_SocEnvironmentInfl_en_dummy	Q02_SubstanceInfl_en	Q02_SubstanceInfl_en_dummy	Q03_Adolescence_en	Q03_Adolescence_en_dummy	Q03_Child_en	Q03_Child_en_dummy	Q03_MiddleAge_en	Q03_MiddleAge_en_dummy	Q03_OlderAge_en	Q03_OlderAge_en_dummy	Q03_Womb_en	Q03_Womb_en_dummy	Q03_YoungAdult_en	Q03_YoungAdult_en_dummy	Q04_Brain_Disease_en	Q05_AlcoholGen_en	Q05_AlcoholGen_en_dummy	Q05_ExcerciseGen_en	Q05_ExcerciseGen_en_dummy	Q05_HealthyDietGen_en	Q05_HealthyDietGen_en_dummy	Q05_IntellectGen_en	Q05_IntellectGen_en_dummy	Q05_ProtectionGen_en	Q05_ProtectionGen_en_dummy	Q05_RelaxGen_en	Q05_RelaxGen_en_dummy	Q05_SleepGen_en	Q05_SleepGen_en_dummy	Q05_SmokeGen_en	Q05_SmokeGen_en_dummy	Q05_SocialiseGen_en	Q05_SocialiseGen_en_dummy	Q05_SupplementsGen_en	Q05_SupplementsGen_en_dummy	Q05_WorkLifeBalanceGen_en	Q05_WorkLifeBalanceGen_en_dummy	Q06_BrainHealth_Purpose_Spec_en	Q06_ExcercisePurp_en	Q06_ExcercisePurp_en_dummy	Q06_HealthyDietPurp_en	Q06_HealthyDietPurp_en_dummy	Q06_OtherPurp_en	Q06_OtherPurp_en_dummy	Q06_ProtectionPurp_en	Q06_ProtectionPurp_en_dummy	Q06_RelaxPurp_en	Q06_RelaxPurp_en_dummy	Q06_SleepPurp_en	Q06_SleepPurp_en_dummy	Q06_SocialisePurp_en	Q06_SocialisePurp_en_dummy	Q06_SupplementsPurp_en	Q06_SupplementsPurp_en_dummy	Q06_WorkLifeBalancePurp_en	Q06_WorkLifeBalancePurp_en_dummy	Q07_Test_Criteria_en	Q07_Test_Criteria_Spec_en	Q08_Take_Test_en	Q09a_Test_Reason_en	Q09a_Test_Reason_Spec_en	Q09b_Test_Nonpreventable_en	Q09c_No_Test_en	Q09c_OtherReason_Spec_en	Q10_FamilyFriends_en	Q10_FamilyFriends_en_dummy	Q10_Library_en	Q10_Library_en_dummy	Q10_LifestyleChange_en	Q10_LifestyleChange_en_dummy	Q10_Plan_en	Q10_Plan_en_dummy	Q10_ProfessHelp_en	Q10_ProfessHelp_en_dummy	Q10_TestReactionSpec_en	Q11_BrainStimuli_en	Q11_BrainStimuli_en_dummy	Q11_EatHealthy_en	Q11_EatHealthy_en_dummy	Q11_ExcerciseMore_en	Q11_ExcerciseMore_en_dummy	Q11_ImprSleepingHabits_en	Q11_ImprSleepingHabits_en_dummy	Q11_MoreCulture_en	Q11_MoreCulture_en_dummy	Q11_MoreRelax_en	Q11_MoreRelax_en_dummy	Q11_MoreSocial_en	Q11_MoreSocial_en_dummy	Q11_NoAlcohol_en	Q11_NoAlcohol_en_dummy	Q11_NoSmoking_en	Q11_NoSmoking_en_dummy	Q11_OtherChanges_en	Q11_OtherChanges_en_dummy	Q11_OtherChanges_Spec_en	Q12_MotivateChange_Category_en	Q12_OtherChangeMotivation_Spec_en	Q13_NoChange_Motivation_en	Q14_ChangeAssistance_en	Q14_OtherAssistance_Spec_en	Q15_FreetestAuth_en	Q15_FreetestAuth_en_dummy	Q15_InformAuth_en	Q15_InformAuth_en_dummy	Q15_InsAuth_en	Q15_InsAuth_en_dummy	Q15_RelaxAuth_en	Q15_RelaxAuth_en_dummy	Q15_SubsAuth_en	Q15_SubsAuth_en_dummy	Q15_TaxAuth_en	Q15_TaxAuth_en_dummy	Q16_BrainHealthSpec_en	Q16_BrainHealthSpec_en_dummy	Q16_GP_en	Q16_GP_en_dummy	Q16_HealthAuthWebsites_en	Q16_HealthAuthWebsites_en_dummy	Q16_Newspaper_en	Q16_Newspaper_en_dummy	Q16_OnlineForum_en	Q16_OnlineForum_en_dummy	Q16_PublicResearch_en	Q16_PublicResearch_en_dummy	Q16_ScientificJournals_en	Q16_ScientificJournals_en_dummy	Q16_SocialMedia_en	Q16_SocialMedia_en_dummy	Q16_TVRadio_en	Q16_TVRadio_en_dummy	Q17_BrainResearch_Part_en	Q18_Age_en	Q18_Age_en_dummy	Q19_Residence_en	Q19_Residence_en_dummy	Q20_Sex_en	Q20_Sex_en_dummy	Q21_Education_Coded_en	Q21_Education_Coded_en_dummy	Q22_Relationship_Status_en	Q22_Relationship_Status_en_dummy	Q23_Vocation_categories_en	Q24_Exp_HealthCare_en	Q25_Cognitive_Health_en	Q26_Emotional_Health_en	Q27_Illness_en	Q28_BrainDisease_Care_en
131674	8585076	Consent_Yes_en	Rarely	Weak	4	Strong	2	Strong	2	Weak	4	Strong	2	NoInfluence	5	VeryStrong	1	Weak	4	Strong	2	NoInfluence	5	VeryStrong	1	ModImportant	3	NotImportant	4	ModImportant	3	NotImportant	4	NotImportant	4	NA	NA	Bipolar;Hypertension;Schizophrenia	Never	4	Rarely	3	Rarely	3	Rarely	3	Occasionally	2	Never	4	Frequently	1	Never	4	Occasionally	2	Occasionally	2	Rarely	3	34年前我有一个大脑的发现，是一个药物跟方法结合引起大脑发生改变，我把这个试验起名子叫：大脑瞬间记忆力提高。这个试验完成是20分钟大概，效果让人震撼，就是现在我每月做一次这个试验。	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cheap	NA	Definitely	OtherMotivation	我就想让西方社会了解我的大脑发现，逐步相信我，发表我的一个原始记录，我用15次大脑瞬间记忆力提高：从第一次试验引发大脑苏醒，启动了大脑进化，到第八个月睡眠进化完成：睡眠进入时间缺失。2017年我跟澳洲的同学一个名子叫田丁丁的联系，就是想把这个八个月的原始记录发表在脸书上，让人们了解，分析。	DefYes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Likely	2	我想通过调查答卷来传达我的成果，没办法一直想发表到现在，从我发现身边的好朋友在1976年突然开窍开始，到我1986年试验成功，保留到了现在，2017年5月22号去日本卖我的大脑发现，我有四个试验，根据时间前后：大脑开窍 自闭症 痴呆症 燥郁症。	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VeryLikely	1	就是联系西方的大学，把我的试验捐给你们，包括四个试验记录，实际就一个试验：大脑瞬间记忆力提高。其它三个是衍生结果。捐献的维一条件是大学或者机构接受我的捐献就给我儿子提供一份工作。	OtherMotivationChange	我因为身边的一个朋友突然开窍，那时候我19岁，到29岁我找到了开窍，结果我看到了跟我朋友一模一样的效果，那总效果会让人震撼，到现在快到63岁了，几十年啊，开始但心这个试验被别人发现，发表，自从去日本想展示四个试验一次性卖掉，现在我想捐献是我的能力和条件决定的，所以捐献是我认真的决定，希望我能得到一次机会，这个试验成功到现在还没有一次机会，记得1986年试验成功当时的感受就是诺奖级别的发现。	Expensive	GP	NA	NA	NA	Unknown	3	NA	NA	NA	NA	NA	NA	NA	NA	Neutral	2	NA	NA	Neutral	2	NA	NA	NA	NA	NA	NA	Neutral	2	NA	NA	NA	NA	Yes	61-70	4	China	1	Male	2	GradSchool	5	DomesticPartner	3	Pensioned	Yes	AboveAverage	Excellent	No	Yes
131674	8364048	Consent_Yes_en	Frequently	Moderate	3	Strong	2	Strong	2	Moderate	3	Strong	2	Moderate	3	VeryStrong	1	Strong	2	Strong	2	Strong	2	VeryStrong	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Important	2	VeryImportant	1	Anxiety;Depression	Rarely	3	Rarely	3	Frequently	1	Frequently	1	Rarely	3	Never	4	Occasionally	2	Never	4	Occasionally	2	Never	4	Occasionally	2	NA	Occasionally	2	Frequently	1	Never	4	Occasionally	2	Rarely	3	Frequently	1	Occasionally	2	Occasionally	2	Rarely	3	Accurate;Cheap;SocialSecurity	NA	Definitely	Information;Respond	NA	DefYes	NA	NA	DefYes	1	DefYes	1	Likely	2	Likely	2	DefYes	1	NA	Likely	2	Likely	2	Likely	2	Likely	2	VeryLikely	1	Likely	2	Unlikely	4	VeryLikely	1	VeryLikely	1	NA	NA	NA	Diagnose;Fun;WorseMemory	NA	Expensive;NoMotivation;StartNoFun	Checkup;GP;SupportFamily	NA	Yes	1	Yes	1	No	2	Yes	1	Yes	1	No	2	GreatExtent	1	GreatExtent	1	GreatExtent	1	Neutral	2	Neutral	2	GreatExtent	1	GreatExtent	1	Neutral	2	Neutral	2	No	18-25	1	China	1	Female	1	GradSchool	5	Single	1	Student	No	Average	BelowAverage	Yes	No
131674	8232908	Consent_Yes_en	Frequently	Strong	2	VeryStrong	1	Strong	2	Moderate	3	VeryStrong	1	Strong	2	VeryStrong	1	VeryStrong	1	Strong	2	VeryStrong	1	VeryStrong	1	Important	2	Important	2	Important	2	ModImportant	3	ModImportant	3	VeryImportant	1	Addiction;Alzheimer;Anxiety;Arthritis;Bipolar;Cancer;Depression;Diabetes;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	3	Frequently	1	Frequently	1	Rarely	3	Occasionally	2	Rarely	3	Frequently	1	Never	4	Occasionally	2	Occasionally	2	Rarely	3	NA	Frequently	1	Frequently	1	NA	NA	Never	4	Rarely	3	Frequently	1	Never	4	Never	4	Occasionally	2	Accurate	NA	Probably	Respond	NA	DefNot	NA	NA	Likely	2	DefYes	1	DefYes	1	DefYes	1	DefYes	1	NA	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	NA	NA	NA	Diagnose;PersonalAdvice;WorseMemory	NA	NoMotivation;NoTime;StartNoFun	GP	NA	Unknown	3	Yes	1	No	2	Yes	1	Yes	1	Yes	1	GreatExtent	1	GreatExtent	1	Neutral	2	NotatAll	3	Neutral	2	GreatExtent	1	GreatExtent	1	NotatAll	3	NotatAll	3	No	26-40	2	USA	179	Male	2	GradSchool	5	DomesticPartner	3	Employed	Yes	AboveAverage	Average	Yes	No
131674	8228397	Consent_Yes_en	Never	VeryStrong	1	VeryStrong	1	Strong	2	Moderate	3	VeryStrong	1	VeryStrong	1	Strong	2	Strong	2	Moderate	3	VeryStrong	1	Strong	2	VeryImportant	1	VeryImportant	1	ModImportant	3	ModImportant	3	VeryImportant	1	Important	2	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Diabetes;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	2	Frequently	1	Occasionally	2	Occasionally	2	Never	4	Rarely	3	Occasionally	2	Never	4	Frequently	1	Occasionally	2	Frequently	1	NA	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	OnlineCriteria	NA	Probably	LearnRisk;Prepare	NA	ProbablyYes	NA	NA	Likely	2	NA	NA	NA	NA	NA	NA	DefYes	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Diagnose;PersonalAdvice;WorseMemory	NA	GiveupHobby;NoInfo;NoTime	MobileApp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	18-25	1	China	1	Male	2	GradSchool	5	Unmarried	2	Student	Yes	Average	Average	Yes	Yes
131674	8226672	Consent_Yes_en	Rarely	Moderate	3	Moderate	3	VeryStrong	1	Weak	4	Weak	4	Moderate	3	Strong	2	Strong	2	VeryStrong	1	Moderate	3	VeryStrong	1	ModImportant	3	Important	2	ModImportant	3	NotImportant	4	VeryImportant	1	ModImportant	3	Migraine	Rarely	3	Rarely	3	Frequently	1	Occasionally	2	Never	4	Occasionally	2	Occasionally	2	Never	4	Occasionally	2	Never	4	Frequently	1	NA	Occasionally	2	Frequently	1	NA	NA	Never	4	Frequently	1	Frequently	1	Occasionally	2	Never	4	Rarely	3	Accurate;Cheap;Quick	NA	Probably	Respond	NA	ProbablyYes	NA	NA	DefYes	1	DefYes	1	DefYes	1	DefYes	1	DefYes	1	NA	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	Likely	2	AlreadyDo	3	AlreadyDo	3	NA	NA	NA	Diagnose;Fun;WorseMemory	NA	GiveupHobby;NotHelp;StartNoFun	GP;SupportFamily	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	Neutral	2	GreatExtent	1	Neutral	2	Neutral	2	Neutral	2	Neutral	2	Neutral	2	NotatAll	3	NotatAll	3	No	18-25	1	China	1	Female	1	GradSchool	5	Single	1	Employed	No	BelowAverage	Average	No	No
131674	8226424	Consent_Yes_en	Frequently	Weak	4	Strong	2	VeryStrong	1	Strong	2	Strong	2	Strong	2	Strong	2	Strong	2	Weak	4	Weak	4	Strong	2	Important	2	Important	2	Important	2	Important	2	VeryImportant	1	Important	2	NA	Never	4	Occasionally	2	Rarely	3	Rarely	3	Rarely	3	Rarely	3	Occasionally	2	Never	4	Frequently	1	Never	4	Frequently	1	多运动	Frequently	1	Occasionally	2	NA	NA	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Never	4	Frequently	1	OnlineCriteria	NA	Probably	Information;Prepare	NA	ProbablyYes	NA	NA	Likely	2	DefYes	1	Likely	2	Likely	2	Likely	2	我会自己做一套有利于脑健康的运动或饮食上做一些调整	Likely	2	VeryLikely	1	VeryLikely	1	VeryLikely	1	Likely	2	VeryLikely	1	Likely	2	VeryLikely	1	VeryLikely	1	VeryLikely	1	多做运动或饮食上注意	Diagnose;ImpactKnown	NA	Expensive;NoTime	Checkup	NA	Yes	1	Unknown	3	Yes	1	Yes	1	Yes	1	Yes	1	Neutral	2	Neutral	2	Neutral	2	Neutral	2	Neutral	2	Neutral	2	Neutral	2	Neutral	2	Neutral	2	Yes	41-60	3	China	1	Female	1	GradSchool	5	DomesticPartner	3	Employed	No	AboveAverage	BelowAverage	No	No
131674	8226413	Consent_Yes_en	Occasionally	VeryStrong	1	Strong	2	VeryStrong	1	Strong	2	Strong	2	VeryStrong	1	VeryStrong	1	Strong	2	Strong	2	VeryStrong	1	VeryStrong	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	NA	Occasionally	2	Occasionally	2	Frequently	1	Occasionally	2	Never	4	Occasionally	2	Frequently	1	Never	4	Frequently	1	Frequently	1	Occasionally	2	思考	Frequently	1	Frequently	1	Frequently	1	Never	4	Occasionally	2	Frequently	1	Frequently	1	Frequently	1	Occasionally	2	Cheap;NoPain;SocialSecurity	NA	Definitely	Respond	NA	ProbablyNot	NA	NA	Likely	2	DefYes	1	DefYes	1	Likely	2	DefYes	1	NA	Likely	2	AlreadyDo	3	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	AlreadyDo	3	NA	NA	NA	Diagnose;ImpactKnown;PersonalAdvice	NA	NoInfo;NoMotivation;NotHelp	Checkup;GP;MobileApp;SupportFamily	NA	Yes	1	Yes	1	Unknown	3	Yes	1	Yes	1	Yes	1	GreatExtent	1	Neutral	2	Neutral	2	Neutral	2	Neutral	2	GreatExtent	1	Neutral	2	Neutral	2	Neutral	2	Yes	26-40	2	China	1	Female	1	GradSchool	5	Unmarried	2	Employed	Yes	Average	Average	No	No
131674	8226347	Consent_Yes_en	Occasionally	Strong	2	VeryStrong	1	VeryStrong	1	Moderate	3	VeryStrong	1	VeryStrong	1	VeryStrong	1	Moderate	3	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryImportant	1	VeryImportant	1	Important	2	Important	2	VeryImportant	1	VeryImportant	1	Anxiety	Rarely	3	Occasionally	2	Occasionally	2	Frequently	1	Occasionally	2	Occasionally	2	Occasionally	2	Occasionally	2	Frequently	1	Rarely	3	Occasionally	2	Listen to classical  music	Occasionally	2	Frequently	1	Occasionally	2	Occasionally	2	Occasionally	2	Frequently	1	Frequently	1	Occasionally	2	Occasionally	2	Accurate;Cheap;OtherCriteria	No harm to the brain	Probably	Information;Respond	NA	ProbablyYes	NA	NA	Likely	2	DefYes	1	DefYes	1	DefYes	1	DefYes	1	NA	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	Likely	2	VeryLikely	1	VeryLikely	1	NA	NA	NA	Diagnose;PersonalAdvice;WorseMemory	NA	Expensive;NoInfo;NoTime	Checkup;GP;GroupSupport;MobileApp	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	GreatExtent	1	GreatExtent	1	GreatExtent	1	Neutral	2	Neutral	2	Neutral	2	Neutral	2	Neutral	2	Neutral	2	No	18-25	1	China	1	Male	2	GradSchool	5	Single	1	Student	No	Average	Average	No	No
131674	8226337	Consent_Yes_en	Rarely	Moderate	3	Strong	2	Strong	2	Moderate	3	Strong	2	Strong	2	Strong	2	Strong	2	Strong	2	Strong	2	Strong	2	Important	2	Important	2	Important	2	Important	2	Important	2	Important	2	NA	Rarely	3	Occasionally	2	Frequently	1	Occasionally	2	Rarely	3	Occasionally	2	Frequently	1	Never	4	Occasionally	2	Rarely	3	Occasionally	2	培养爱好，放松	Occasionally	2	Frequently	1	Occasionally	2	Rarely	3	Occasionally	2	Frequently	1	Occasionally	2	Rarely	3	Occasionally	2	Cheap;NoPain;SocialSecurity	NA	Probably	LearnRisk;Prepare	NA	DefYes	NA	NA	DefYes	1	DefYes	1	Likely	2	DefYes	1	Likely	2	NA	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	Likely	2	VeryLikely	1	Likely	2	VeryLikely	1	VeryLikely	1	NA	NA	NA	Diagnose;ImpactKnown;WorseMemory	NA	Expensive;NoInfo;StartNoFun	Checkup;GP;SupportFamily	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	Neutral	2	Neutral	2	GreatExtent	1	Neutral	2	Neutral	2	Neutral	2	GreatExtent	1	NotatAll	3	Neutral	2	Yes	18-25	1	China	1	Female	1	GradSchool	5	Single	1	Employed	Yes	Average	BelowAverage	No	No
131674	8226327	Consent_Yes_en	Rarely	Strong	2	VeryStrong	1	VeryStrong	1	Strong	2	Strong	2	Strong	2	VeryStrong	1	Strong	2	VeryStrong	1	Strong	2	VeryStrong	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Anxiety	Rarely	3	Occasionally	2	Occasionally	2	Occasionally	2	Rarely	3	Occasionally	2	Occasionally	2	Never	4	Frequently	1	Occasionally	2	Occasionally	2	弹琴	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Accurate;NoPain;OnlineCriteria	NA	Definitely	Information;Respond	NA	ProbablyYes	NA	NA	DefYes	1	DefYes	1	DefYes	1	DefYes	1	DefYes	1	力所能及的全部	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	NA	NA	NA	Diagnose;PersonalAdvice;WorseMemory	NA	NoInfo	Checkup;GP;MobileApp	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	GreatExtent	1	GreatExtent	1	Neutral	2	NotatAll	3	Neutral	2	Neutral	2	GreatExtent	1	NotatAll	3	NotatAll	3	Yes	18-25	1	China	1	Male	2	GradSchool	5	Unmarried	2	Employed	Yes	Average	Excellent	No	Yes
